Store_Name,Store_Type,Full_Address,City,Source,F_id,website,addr_housenumber,addr_postcode,addr_state,addr_street,opening_hours,phone,Store_Stre,Additonal_,State,Zip_Code,Zip4,County,Latitude,Longitude,Incentive_,Grantee_Na,ObjectId_1,MERGE_SRC
McKinnon's Market & Super Butcher Shop,Supermarket,"73 Holten St, Danvers, MA 01923",Danvers,Open Street Map,node/8931709279,,,,MA,,,,,,,,,,,,,,,export1_JSONToFeatures_FiveTowns_fromOSM
Los Primos Market,Convenience,"549 Boston Street, Lynn, MA, 01905",Lynn,Open Street Map,node/9875595506,,549,01905,MA,Boston Street,,+1 781 8423261,,,,,,,,,,,,export1_JSONToFeatures_FiveTowns_fromOSM
La Familia Market,Supermarket,"602 Summer St, Lynn, MA 01905",Lynn,Open Street Map,node/9918153149,,,,MA,,,+1 339 4404109,,,,,,,,,,,,export1_JSONToFeatures_FiveTowns_fromOSM
Family Corner Grocery II,Convenience,"624 Boston St, Lynn, MA 01905",Lynn,Open Street Map,node/9934578878,,,,MA,,,,,,,,,,,,,,,export1_JSONToFeatures_FiveTowns_fromOSM
Soriya Market,Convenience,"551 Summer Street, Lynn, MA, 01905",Lynn,Open Street Map,node/9946039933,https://www.facebook.com/pages/category/Convenience-Store/Soriya-Market-425805277987754/,551,01905,MA,Summer Street,,,,,,,,,,,,,,export1_JSONToFeatures_FiveTowns_fromOSM
Mekong Market,Supermarket,"863 Western Avenue, Lynn, MA, 01905",Lynn,Open Street Map,node/9946039979,https://www.facebook.com/MekongMarketLynn,863,01905,MA,Western Avenue,,+1 781 5844022,,,,,,,,,,,,export1_JSONToFeatures_FiveTowns_fromOSM
ALDI,Supermarket,"100 Independence Way, Danvers, MA, 01923",Danvers,Open Street Map,node/11246994000,https://stores.aldi.us/ma/danvers/100-independence-way,100,01923,MA,Independence Way,Mo-Su 09:00-20:00,+1-844-473-1146,,,,,,,,,,,,export1_JSONToFeatures_FiveTowns_fromOSM
Congress Street Market,Supermarket,"95 Congress Street, Salem, MA, 01970",Salem,Open Street Map,node/12104487325,,95,01970,MA,Congress Street,,,,,,,,,,,,,,export1_JSONToFeatures_FiveTowns_fromOSM
Market Basket 58,Super Store,"227 Highland Ave, Salem, MA, 01970",Salem,USDA SNAP Locator,,,,,,,,,227 Highland Ave, ,MA,01970,1830,ESSEX,42.504784000000001,-70.921065999999996, , ,,SNAP_NoConveniennceOrOTHER
Stop & Shop 93,Supermarket,"301 Newbury St, Danvers, MA, 01923",Danvers,USDA SNAP Locator,,,,,,,,,301 Newbury St,Ste 1,MA,01923,1010,ESSEX,42.586620000000003,-70.965941999999998, , ,,SNAP_NoConveniennceOrOTHER
